,id_seq1,target_seq1,id_seq2,target_seq2,distance
255,sequence_53082,55.0,sequence_19347,58.9,0.220969205999388
235,sequence_53082,55.0,sequence_19517,61.6,0.3021751809795107
189,sequence_53082,55.0,sequence_19452,44.2,0.2942146665276903
48,sequence_53082,55.0,sequence_19497,54.9,0.3077671522433804
91,sequence_53082,55.0,sequence_19431,50.5,0.3193822318163615
72,sequence_53082,55.0,sequence_19439,49.5,0.3307997128172879
253,sequence_53082,55.0,sequence_53099,53.0,0.1833836688475828
123,sequence_53082,55.0,sequence_19442,47.4,0.3272449235664322
10,sequence_53082,55.0,sequence_19453,47.3,0.288097761185331
168,sequence_53082,55.0,sequence_19372,49.2,0.3124675023102402
190,sequence_53082,55.0,sequence_19407,49.2,0.2787327573142417
214,sequence_53082,55.0,sequence_19464,62.2,0.3169523308007058
55,sequence_53082,55.0,sequence_19409,51.1,0.2980236232247371
27,sequence_53082,55.0,sequence_53085,51.2,0.1440444375878499
25,sequence_53082,55.0,sequence_19425,56.9,0.2987014563071295
229,sequence_53082,55.0,sequence_19460,61.0,0.2823081118211095
197,sequence_53082,55.0,sequence_53058,51.2,0.204137502678954
149,sequence_53082,55.0,sequence_19466,56.9,0.3035286971605815
215,sequence_53082,55.0,sequence_19359,59.3,0.3359769932599553
233,sequence_53082,55.0,sequence_19356,59.0,0.319813570693928
198,sequence_53082,55.0,sequence_19458,62.9,0.3009414228716281
226,sequence_53082,55.0,sequence_19349,58.9,0.3081166986711367
219,sequence_53082,55.0,sequence_19475,59.1,0.3074539477710443
192,sequence_53082,55.0,sequence_19499,53.3,0.3064039164240562
191,sequence_53082,55.0,sequence_19444,50.7,0.3197059899345023
224,sequence_53082,55.0,sequence_19462,63.2,0.3000309484036607
230,sequence_53082,55.0,sequence_19352,58.5,0.3259578960540762
254,sequence_53082,55.0,sequence_53056,52.0,0.1707090214370639
