,id_seq1,target_seq1,id_seq2,target_seq2,distance
69,sequence_47787,5.0,sequence_47713,51.0,0.0001851360409899
128,sequence_47787,5.0,sequence_47723,69.0,0.0002184675205358
85,sequence_47787,5.0,sequence_47677,103.0,0.0002080552204813
81,sequence_47787,5.0,sequence_47688,90.0,0.0005611784543059
29,sequence_47787,5.0,sequence_47771,18.0,0.0001258045169657
145,sequence_47787,5.0,sequence_47729,34.0,0.0001772387848998
9,sequence_47787,5.0,sequence_47772,12.0,9.886949720194772e-05
35,sequence_47787,5.0,sequence_47689,52.0,0.0004792688002221
48,sequence_47787,5.0,sequence_47671,36.0,0.0002421539978567
54,sequence_47787,5.0,sequence_47797,27.0,8.053211452774267e-05
20,sequence_47787,5.0,sequence_47803,12.0,0.0001306241480337
138,sequence_47787,5.0,sequence_47802,4.0,0.0001458133803875
107,sequence_47787,5.0,sequence_47661,52.0,0.0001743149727491
131,sequence_47787,5.0,sequence_47676,56.0,0.0002172673248287
45,sequence_47787,5.0,sequence_47799,24.0,0.0001626299499776
140,sequence_47787,5.0,sequence_47728,12.0,8.269947333372496e-05
106,sequence_47787,5.0,sequence_47665,50.0,0.0002140999237495
66,sequence_47787,5.0,sequence_47759,36.0,0.000188131657027
44,sequence_47787,5.0,sequence_47800,20.0,0.0001521483163422
114,sequence_47787,5.0,sequence_47733,25.0,0.000174795581857
38,sequence_47787,5.0,sequence_47678,37.0,0.0002045697634962
147,sequence_47787,5.0,sequence_47737,27.0,0.0001775256813985
102,sequence_47787,5.0,sequence_47725,57.0,0.0002867392588871
15,sequence_47787,5.0,sequence_47710,43.0,0.0004799385729933
49,sequence_47787,5.0,sequence_47727,45.0,0.0001656448692076
134,sequence_47787,5.0,sequence_47735,55.0,0.0001797298722612
130,sequence_47787,5.0,sequence_47674,38.0,0.0002389398988272
