,id_seq1,target_seq1,id_seq2,target_seq2,distance
86,sequence_47787,5.0,sequence_47692,87.5,0.0213994156739133
21,sequence_47787,5.0,sequence_47663,36.0,0.0254776967640845
69,sequence_47787,5.0,sequence_47713,51.0,0.0213800984300414
75,sequence_47787,5.0,sequence_47694,51.0,0.0291254902879688
10,sequence_47787,5.0,sequence_47795,7.0,0.0246857609920435
128,sequence_47787,5.0,sequence_47723,69.0,0.0284758250401284
143,sequence_47787,5.0,sequence_47791,4.0,0.0085310054517061
18,sequence_47787,5.0,sequence_47780,23.0,0.0147062845168035
12,sequence_47787,5.0,sequence_47685,24.0,0.0152161575336184
145,sequence_47787,5.0,sequence_47729,34.0,0.0146782027763602
24,sequence_47787,5.0,sequence_47796,20.0,0.0237969615603429
73,sequence_47787,5.0,sequence_47672,76.0,0.0213249654060945
9,sequence_47787,5.0,sequence_47772,12.0,0.010486946237246
136,sequence_47787,5.0,sequence_47801,4.0,0.0002457304944509
115,sequence_47787,5.0,sequence_47732,30.0,0.0365230435406861
16,sequence_47787,5.0,sequence_47686,22.0,0.016689928292281
146,sequence_47787,5.0,sequence_47809,10.0,0.0279825521926647
48,sequence_47787,5.0,sequence_47671,36.0,0.0285190979660553
54,sequence_47787,5.0,sequence_47797,27.0,0.0357655542852068
20,sequence_47787,5.0,sequence_47803,12.0,0.0075520973882747
112,sequence_47787,5.0,sequence_47662,28.0,0.0360224852746269
100,sequence_47787,5.0,sequence_47712,49.0,0.0223540226428127
111,sequence_47787,5.0,sequence_47811,24.0,0.0351298792700849
138,sequence_47787,5.0,sequence_47802,4.0,0.0014419342336441
37,sequence_47787,5.0,sequence_47697,55.5,0.0166867065813874
107,sequence_47787,5.0,sequence_47661,52.0,0.0265942081391073
104,sequence_47787,5.0,sequence_47668,48.0,0.0390710299500031
30,sequence_47787,5.0,sequence_47681,44.0,0.0214195904646577
31,sequence_47787,5.0,sequence_47696,47.0,0.0152158521615652
45,sequence_47787,5.0,sequence_47799,24.0,0.0147304180188945
101,sequence_47787,5.0,sequence_47714,51.0,0.019938026430283
140,sequence_47787,5.0,sequence_47728,12.0,0.0104959096574798
32,sequence_47787,5.0,sequence_47680,73.0,0.040766698861121
126,sequence_47787,5.0,sequence_47716,84.0,0.0208128331268424
106,sequence_47787,5.0,sequence_47665,50.0,0.0265209170261889
14,sequence_47787,5.0,sequence_47695,52.0,0.0151605286618731
150,sequence_47787,5.0,sequence_47736,19.0,0.0272730873206764
2,sequence_47787,5.0,sequence_47790,9.0,0.0090096559186211
103,sequence_47787,5.0,sequence_47669,32.0,0.0372230310016541
105,sequence_47787,5.0,sequence_47670,97.0,0.0269301042216187
139,sequence_47787,5.0,sequence_47794,18.0,0.0155823979880737
79,sequence_47787,5.0,sequence_47675,57.0,0.0428127118513665
44,sequence_47787,5.0,sequence_47800,20.0,0.0154066959962413
144,sequence_47787,5.0,sequence_47788,5.0,0.0014244185438036
149,sequence_47787,5.0,sequence_47766,4.19,0.0030837262344602
114,sequence_47787,5.0,sequence_47733,25.0,0.0247944413966692
25,sequence_47787,5.0,sequence_47750,25.0,0.0137318042402523
0,sequence_47787,5.0,sequence_47684,23.0,0.0151599440572082
137,sequence_47787,5.0,sequence_47805,22.0,0.0154775516571131
1,sequence_47787,5.0,sequence_47789,10.0,0.0075494223224727
147,sequence_47787,5.0,sequence_47737,27.0,0.0288970732757882
148,sequence_47787,5.0,sequence_47810,5.57,0.0044432662837292
19,sequence_47787,5.0,sequence_47785,25.0,0.0132638554778743
99,sequence_47787,5.0,sequence_47690,63.0,0.0270630805646049
109,sequence_47787,5.0,sequence_47726,120.0,0.0372152855898073
7,sequence_47787,5.0,sequence_47786,18.0,0.0145925796890616
135,sequence_47787,5.0,sequence_47793,16.0,0.0154684995064468
102,sequence_47787,5.0,sequence_47725,57.0,0.0272439797275569
50,sequence_47787,5.0,sequence_47756,37.0,0.0358492069481423
141,sequence_47787,5.0,sequence_47808,4.0,0.0260723563501015
120,sequence_47787,5.0,sequence_47740,158.0,0.0220693182304398
58,sequence_47787,5.0,sequence_47743,63.0,0.0486936234889499
56,sequence_47787,5.0,sequence_47751,34.0,0.0137474074392294
40,sequence_47787,5.0,sequence_47724,48.0,0.0275931474410597
15,sequence_47787,5.0,sequence_47710,43.0,0.0171648390723463
142,sequence_47787,5.0,sequence_47792,12.0,0.0134940636798751
74,sequence_47787,5.0,sequence_47705,71.0,0.0406881126329391
49,sequence_47787,5.0,sequence_47727,45.0,0.0356590058044543
13,sequence_47787,5.0,sequence_47679,44.0,0.0213107141318448
124,sequence_47787,5.0,sequence_47717,66.0,0.0493387133154887
113,sequence_47787,5.0,sequence_47731,32.0,0.0338014550327668
23,sequence_47787,5.0,sequence_47783,24.5,0.0350669470421223
80,sequence_47787,5.0,sequence_47698,56.0,0.0209481611942008
110,sequence_47787,5.0,sequence_47734,110.0,0.0372587674132054
53,sequence_47787,5.0,sequence_47758,22.0,0.025576417999802
