,id_seq1,target_seq1,id_seq2,target_seq2,distance
96,sequence_53082,55.0,sequence_53065,44.8,1.0
16,sequence_53082,55.0,sequence_53062,49.1,0.99765625
250,sequence_53082,55.0,sequence_53098,42.0,0.9984375
241,sequence_53082,55.0,sequence_53083,51.0,0.99921875
242,sequence_53082,55.0,sequence_53088,48.0,1.0
22,sequence_53082,55.0,sequence_53079,47.8,0.9984375
253,sequence_53082,55.0,sequence_53099,53.0,0.9984375
252,sequence_53082,55.0,sequence_53084,39.0,1.0
136,sequence_53082,55.0,sequence_53069,50.9,1.0
180,sequence_53082,55.0,sequence_53067,40.9,1.0
29,sequence_53082,55.0,sequence_53059,47.1,0.99921875
121,sequence_53082,55.0,sequence_53080,50.4,0.99921875
33,sequence_53082,55.0,sequence_53064,48.4,0.99921875
177,sequence_53082,55.0,sequence_53073,53.8,1.0
167,sequence_53082,55.0,sequence_53076,46.3,1.0
97,sequence_53082,55.0,sequence_53074,48.3,0.99921875
27,sequence_53082,55.0,sequence_53085,51.2,0.99765625
143,sequence_53082,55.0,sequence_53061,50.6,0.99921875
14,sequence_53082,55.0,sequence_53078,43.3,1.0
197,sequence_53082,55.0,sequence_53058,51.2,0.99921875
249,sequence_53082,55.0,sequence_53072,47.0,0.99765625
11,sequence_53082,55.0,sequence_53075,51.6,1.0
248,sequence_53082,55.0,sequence_53068,36.0,1.0
18,sequence_53082,55.0,sequence_53066,39.2,0.99921875
245,sequence_53082,55.0,sequence_53086,40.0,1.0
63,sequence_53082,55.0,sequence_53070,45.7,1.0
251,sequence_53082,55.0,sequence_53052,55.0,0.9984375
124,sequence_53082,55.0,sequence_53077,43.5,1.0
246,sequence_53082,55.0,sequence_53087,52.0,0.99921875
147,sequence_53082,55.0,sequence_53063,44.0,0.99921875
206,sequence_53082,55.0,sequence_53060,47.9,1.0
244,sequence_53082,55.0,sequence_53081,53.0,0.99921875
254,sequence_53082,55.0,sequence_53056,52.0,0.9984375
