,id_seq1,target_seq1,id_seq2,target_seq2,distance
96,sequence_53082,55.0,sequence_53065,44.8,30251.41522573486
235,sequence_53082,55.0,sequence_19517,61.6,32047.119188360928
70,sequence_53082,55.0,sequence_19410,49.9,33515.79289550594
21,sequence_53082,55.0,sequence_19447,51.0,33745.29351624258
57,sequence_53082,55.0,sequence_20040,47.2,36178.14565846892
67,sequence_53082,55.0,sequence_19526,49.3,32289.36398787757
158,sequence_53082,55.0,sequence_19437,46.7,34844.7472621712
152,sequence_53082,55.0,sequence_19529,48.8,31791.901496134247
199,sequence_53082,55.0,sequence_19470,61.0,31131.797597820423
223,sequence_53082,55.0,sequence_19472,59.9,32525.243904351708
85,sequence_53082,55.0,sequence_20062,57.9,33222.817366003146
171,sequence_53082,55.0,sequence_19524,46.4,32110.49588408849
227,sequence_53082,55.0,sequence_19478,60.1,31844.75475480912
131,sequence_53082,55.0,sequence_19467,64.4,32220.359037678667
100,sequence_53082,55.0,sequence_20057,51.9,32264.179435041016
59,sequence_53082,55.0,sequence_19432,51.0,34881.88147152937
220,sequence_53082,55.0,sequence_19353,64.3,35015.992115790934
89,sequence_53082,55.0,sequence_19422,46.6,33043.53433636979
82,sequence_53082,55.0,sequence_19378,52.4,34991.99965076955
189,sequence_53082,55.0,sequence_19452,44.2,32699.62377704656
19,sequence_53082,55.0,sequence_19417,47.9,33632.71364796384
48,sequence_53082,55.0,sequence_19497,54.9,31727.623656344087
93,sequence_53082,55.0,sequence_19488,51.3,32112.07418561533
2,sequence_53082,55.0,sequence_20048,39.8,35193.62840085625
0,sequence_53082,55.0,sequence_19402,43.0,32874.37222649889
122,sequence_53082,55.0,sequence_20073,51.0,32945.78978097259
195,sequence_53082,55.0,sequence_19424,50.9,33541.45796183816
170,sequence_53082,55.0,sequence_20066,49.9,34846.41266081247
45,sequence_53082,55.0,sequence_19446,39.5,32898.618543363555
250,sequence_53082,55.0,sequence_53098,42.0,30945.722173930542
13,sequence_53082,55.0,sequence_19523,50.8,33150.03921236947
103,sequence_53082,55.0,sequence_19389,44.0,32810.564268121416
164,sequence_53082,55.0,sequence_19489,49.1,33864.9629624958
78,sequence_53082,55.0,sequence_20051,42.5,35201.73119990816
242,sequence_53082,55.0,sequence_53088,48.0,30362.87223707338
91,sequence_53082,55.0,sequence_19431,50.5,32005.13611492484
182,sequence_53082,55.0,sequence_20053,54.7,34573.05822989847
114,sequence_53082,55.0,sequence_19428,49.3,29770.495984022487
22,sequence_53082,55.0,sequence_53079,47.8,31002.512179378034
72,sequence_53082,55.0,sequence_19439,49.5,31537.27023764279
49,sequence_53082,55.0,sequence_19490,52.9,32587.849547079182
166,sequence_53082,55.0,sequence_19408,51.1,32707.45554675279
126,sequence_53082,55.0,sequence_19416,49.4,35083.39055235075
30,sequence_53082,55.0,sequence_19430,45.7,33108.16731085394
194,sequence_53082,55.0,sequence_19398,46.2,33149.13529802656
204,sequence_53082,55.0,sequence_19360,63.5,35059.53259719965
1,sequence_53082,55.0,sequence_20054,49.0,36476.9377231539
145,sequence_53082,55.0,sequence_19469,50.5,29775.22943591226
74,sequence_53082,55.0,sequence_19451,51.0,34052.21247936802
37,sequence_53082,55.0,sequence_19506,49.3,34256.75092138597
123,sequence_53082,55.0,sequence_19442,47.4,30666.19384556464
154,sequence_53082,55.0,sequence_19491,48.8,33032.88752078752
136,sequence_53082,55.0,sequence_53069,50.9,34520.570991116074
34,sequence_53082,55.0,sequence_20072,48.7,32449.8877463704
84,sequence_53082,55.0,sequence_19433,50.1,34207.3324563603
52,sequence_53082,55.0,sequence_19405,48.7,34117.30710317668
64,sequence_53082,55.0,sequence_19392,50.5,34355.26603426864
155,sequence_53082,55.0,sequence_19421,53.0,33449.00244746304
71,sequence_53082,55.0,sequence_19390,46.3,31683.59481504437
10,sequence_53082,55.0,sequence_19453,47.3,31478.261739867885
3,sequence_53082,55.0,sequence_20036,52.9,34963.42243038832
180,sequence_53082,55.0,sequence_53067,40.9,33804.62742349575
101,sequence_53082,55.0,sequence_19438,56.1,34469.17962162929
29,sequence_53082,55.0,sequence_53059,47.1,35055.52782903214
40,sequence_53082,55.0,sequence_19498,63.2,33101.904532709304
56,sequence_53082,55.0,sequence_19354,60.0,34229.282124203906
148,sequence_53082,55.0,sequence_19457,43.6,34835.50879512116
168,sequence_53082,55.0,sequence_19372,49.2,33788.882489469484
190,sequence_53082,55.0,sequence_19407,49.2,29943.43418781689
196,sequence_53082,55.0,sequence_20037,57.8,34870.17149765435
39,sequence_53082,55.0,sequence_19530,45.6,32470.581906555577
179,sequence_53082,55.0,sequence_19456,48.0,33124.7213731853
185,sequence_53082,55.0,sequence_20047,49.9,34529.65686695387
135,sequence_53082,55.0,sequence_19435,51.4,33017.365889110355
42,sequence_53082,55.0,sequence_19386,50.7,33424.448434674174
238,sequence_53082,55.0,sequence_19411,58.0,35339.55298524312
200,sequence_53082,55.0,sequence_19364,57.1,33267.59254446135
142,sequence_53082,55.0,sequence_19387,47.7,33084.631863940245
210,sequence_53082,55.0,sequence_19465,62.9,33476.08336021338
107,sequence_53082,55.0,sequence_20076,55.7,33724.69051512487
111,sequence_53082,55.0,sequence_19492,58.5,31168.12829152135
186,sequence_53082,55.0,sequence_19528,47.1,30890.891111051405
211,sequence_53082,55.0,sequence_19476,62.2,31863.64802336029
86,sequence_53082,55.0,sequence_19393,53.7,35565.20243391323
214,sequence_53082,55.0,sequence_19464,62.2,32190.39732336341
62,sequence_53082,55.0,sequence_19505,42.4,32121.927162146392
144,sequence_53082,55.0,sequence_19448,46.3,29946.30335816206
