,id_seq1,target_seq1,id_seq2,target_seq2,distance
0,sequence_53082,55.0,sequence_19402,43.0,0.986328125
166,sequence_53082,55.0,sequence_19408,51.1,0.98046875
165,sequence_53082,55.0,sequence_19440,48.5,0.984375
183,sequence_53082,55.0,sequence_19355,58.8,0.990234375
88,sequence_53082,55.0,sequence_19383,50.5,0.978515625
69,sequence_53082,55.0,sequence_19443,48.0,0.978515625
247,sequence_53082,55.0,sequence_19400,43.0,0.982421875
53,sequence_53082,55.0,sequence_19382,52.0,0.982421875
243,sequence_53082,55.0,sequence_19381,50.0,0.98828125
83,sequence_53082,55.0,sequence_19441,49.0,0.98046875
426,sequence_19402,43.0,sequence_19408,51.1,0.962890625
425,sequence_19402,43.0,sequence_19440,48.5,0.970703125
443,sequence_19402,43.0,sequence_19355,58.8,0.966796875
348,sequence_19402,43.0,sequence_19383,50.5,0.986328125
329,sequence_19402,43.0,sequence_19443,48.0,0.978515625
507,sequence_19402,43.0,sequence_19400,43.0,0.93359375
313,sequence_19402,43.0,sequence_19382,52.0,0.96484375
503,sequence_19402,43.0,sequence_19381,50.0,0.96484375
343,sequence_19402,43.0,sequence_19441,49.0,0.982421875
521,sequence_20054,49.0,sequence_19402,43.0,0.982421875
686,sequence_20054,49.0,sequence_19408,51.1,0.986328125
685,sequence_20054,49.0,sequence_19440,48.5,0.978515625
703,sequence_20054,49.0,sequence_19355,58.8,0.982421875
608,sequence_20054,49.0,sequence_19383,50.5,0.984375
589,sequence_20054,49.0,sequence_19443,48.0,0.982421875
767,sequence_20054,49.0,sequence_19400,43.0,0.984375
573,sequence_20054,49.0,sequence_19382,52.0,0.982421875
763,sequence_20054,49.0,sequence_19381,50.0,0.982421875
603,sequence_20054,49.0,sequence_19441,49.0,0.974609375
