,id_seq1,target_seq1,id_seq2,target_seq2,distance
171,sequence_53082,55.0,sequence_19524,46.4,0.0748999999999999
22,sequence_53082,55.0,sequence_53079,47.8,0.1002
37,sequence_53082,55.0,sequence_19506,49.3,0.0955
154,sequence_53082,55.0,sequence_19491,48.8,0.0928999999999999
180,sequence_53082,55.0,sequence_53067,40.9,0.0872
39,sequence_53082,55.0,sequence_19530,45.6,0.0782999999999999
62,sequence_53082,55.0,sequence_19505,42.4,0.0842
115,sequence_53082,55.0,sequence_19377,50.3,0.0842
33,sequence_53082,55.0,sequence_53064,48.4,0.0723999999999999
18,sequence_53082,55.0,sequence_53066,39.2,0.0763
124,sequence_53082,55.0,sequence_53077,43.5,0.0957
175,sequence_53082,55.0,sequence_19493,50.4,0.1042
