,id_seq1,target_seq1,id_seq2,target_seq2,distance
96,sequence_53082,55.0,sequence_53065,44.8,2.5547000000000017
223,sequence_53082,55.0,sequence_19472,59.9,3.0906999999999987
171,sequence_53082,55.0,sequence_19524,46.4,2.9590000000000014
100,sequence_53082,55.0,sequence_20057,51.9,2.7625
16,sequence_53082,55.0,sequence_53062,49.1,2.303300000000001
89,sequence_53082,55.0,sequence_19422,46.6,3.0682000000000005
258,sequence_53082,55.0,sequence_19380,48.1,3.1853
2,sequence_53082,55.0,sequence_20048,39.8,3.030400000000001
0,sequence_53082,55.0,sequence_19402,43.0,3.4410999999999987
122,sequence_53082,55.0,sequence_20073,51.0,2.868000000000001
45,sequence_53082,55.0,sequence_19446,39.5,3.5323
103,sequence_53082,55.0,sequence_19389,44.0,3.318700000000001
78,sequence_53082,55.0,sequence_20051,42.5,2.8628000000000013
22,sequence_53082,55.0,sequence_53079,47.8,2.667200000000001
49,sequence_53082,55.0,sequence_19490,52.9,3.221900000000001
166,sequence_53082,55.0,sequence_19408,51.1,3.0365999999999995
194,sequence_53082,55.0,sequence_19398,46.2,3.380100000000001
37,sequence_53082,55.0,sequence_19506,49.3,3.2553000000000005
180,sequence_53082,55.0,sequence_53067,40.9,2.613600000000002
39,sequence_53082,55.0,sequence_19530,45.6,2.950099999999999
42,sequence_53082,55.0,sequence_19386,50.7,3.1551
186,sequence_53082,55.0,sequence_19528,47.1,2.9376000000000007
62,sequence_53082,55.0,sequence_19505,42.4,3.1205000000000003
144,sequence_53082,55.0,sequence_19448,46.3,3.127199999999999
115,sequence_53082,55.0,sequence_19377,50.3,3.250000000000001
33,sequence_53082,55.0,sequence_53064,48.4,2.3018
165,sequence_53082,55.0,sequence_19440,48.5,3.2943
109,sequence_53082,55.0,sequence_19399,47.5,3.2800000000000007
46,sequence_53082,55.0,sequence_20063,48.9,2.8062000000000022
92,sequence_53082,55.0,sequence_20058,54.9,2.734700000000001
9,sequence_53082,55.0,sequence_19500,51.2,2.9199000000000006
15,sequence_53082,55.0,sequence_20069,53.4,2.7659
176,sequence_53082,55.0,sequence_19484,52.0,3.0466999999999995
98,sequence_53082,55.0,sequence_20050,47.9,2.863900000000001
137,sequence_53082,55.0,sequence_19418,47.2,3.0596999999999994
163,sequence_53082,55.0,sequence_19510,47.8,3.306700000000001
12,sequence_53082,55.0,sequence_19522,45.4,2.9231
161,sequence_53082,55.0,sequence_20074,47.1,2.9103000000000003
88,sequence_53082,55.0,sequence_19383,50.5,3.2994999999999988
69,sequence_53082,55.0,sequence_19443,48.0,3.3836000000000013
18,sequence_53082,55.0,sequence_53066,39.2,2.6412
60,sequence_53082,55.0,sequence_19371,49.0,3.212600000000001
247,sequence_53082,55.0,sequence_19400,43.0,3.2152
53,sequence_53082,55.0,sequence_19382,52.0,3.1261999999999994
35,sequence_53082,55.0,sequence_20038,49.1,2.863199999999998
120,sequence_53082,55.0,sequence_19508,49.5,3.2727000000000013
80,sequence_53082,55.0,sequence_19394,45.4,3.2352
118,sequence_53082,55.0,sequence_20045,48.8,2.9375000000000018
124,sequence_53082,55.0,sequence_53077,43.5,2.653800000000001
104,sequence_53082,55.0,sequence_19468,54.8,2.9921999999999995
243,sequence_53082,55.0,sequence_19381,50.0,3.1924
147,sequence_53082,55.0,sequence_53063,44.0,2.760299999999998
83,sequence_53082,55.0,sequence_19441,49.0,3.478
54,sequence_53082,55.0,sequence_20067,50.8,2.726000000000001
