,id_seq1,target_seq1,id_seq2,target_seq2,distance
235,sequence_53082,55.0,sequence_19517,61.6,0.5569389233498149
67,sequence_53082,55.0,sequence_19526,49.3,0.5743690914435935
82,sequence_53082,55.0,sequence_19378,52.4,0.6512730751014961
250,sequence_53082,55.0,sequence_53098,42.0,0.5105493042084814
242,sequence_53082,55.0,sequence_53088,48.0,0.4572317843468911
204,sequence_53082,55.0,sequence_19360,63.5,0.6129292090706495
74,sequence_53082,55.0,sequence_19451,51.0,0.6513175836831513
155,sequence_53082,55.0,sequence_19421,53.0,0.6112256566083034
238,sequence_53082,55.0,sequence_19411,58.0,0.6086557805128308
200,sequence_53082,55.0,sequence_19364,57.1,0.5927896036140341
142,sequence_53082,55.0,sequence_19387,47.7,0.5941557913314974
90,sequence_53082,55.0,sequence_19495,58.9,0.6248653728951712
86,sequence_53082,55.0,sequence_19393,53.7,0.642218068971675
181,sequence_53082,55.0,sequence_19502,59.9,0.5586968562208536
119,sequence_53082,55.0,sequence_19412,55.3,0.6155191805684908
169,sequence_53082,55.0,sequence_19507,46.0,0.5831439200368211
236,sequence_53082,55.0,sequence_19520,58.7,0.5737401398608017
225,sequence_53082,55.0,sequence_19362,61.0,0.6260958767434336
157,sequence_53082,55.0,sequence_19368,56.2,0.6257693270617557
209,sequence_53082,55.0,sequence_19481,63.1,0.5886096493433794
232,sequence_53082,55.0,sequence_19518,61.6,0.570254140159999
24,sequence_53082,55.0,sequence_19419,53.3,0.6143737650666103
248,sequence_53082,55.0,sequence_53068,36.0,0.5080682952103222
234,sequence_53082,55.0,sequence_19503,60.0,0.5866339050101594
192,sequence_53082,55.0,sequence_19499,53.3,0.5508463539701731
79,sequence_53082,55.0,sequence_19397,49.6,0.6552632818328294
237,sequence_53082,55.0,sequence_19385,58.2,0.6189817857703932
76,sequence_53082,55.0,sequence_19415,52.8,0.6098515706223979
240,sequence_53082,55.0,sequence_19413,58.7,0.6146970798996823
217,sequence_53082,55.0,sequence_19367,61.0,0.62443386478193
205,sequence_53082,55.0,sequence_19474,64.4,0.5841510402809369
