,id_seq1,target_seq1,id_seq2,target_seq2,distance
255,sequence_53082,55.0,sequence_19347,58.9,0.0388017525763222
95,sequence_53082,55.0,sequence_19511,62.4,0.1082316798455702
112,sequence_53082,55.0,sequence_19445,45.5,0.1166296852369046
228,sequence_53082,55.0,sequence_19351,60.9,0.1210559244284862
113,sequence_53082,55.0,sequence_19403,50.9,0.1262683626227771
125,sequence_53082,55.0,sequence_19429,50.9,0.115520357535003
208,sequence_53082,55.0,sequence_19459,59.2,0.1133183892273296
16,sequence_53082,55.0,sequence_53062,49.1,0.0973214839382162
258,sequence_53082,55.0,sequence_19380,48.1,0.10279008673096
241,sequence_53082,55.0,sequence_53083,51.0,0.0151298713784858
253,sequence_53082,55.0,sequence_53099,53.0,0.0343373287339764
252,sequence_53082,55.0,sequence_53084,39.0,0.0350459828195697
47,sequence_53082,55.0,sequence_20043,46.6,0.117336998299774
117,sequence_53082,55.0,sequence_19521,53.0,0.0803022896792673
38,sequence_53082,55.0,sequence_20064,47.3,0.0819726489306004
256,sequence_53082,55.0,sequence_19379,50.3,0.060027707481271
257,sequence_53082,55.0,sequence_19348,46.7,0.088489045039486
66,sequence_53082,55.0,sequence_20056,56.9,0.1057408381245966
32,sequence_53082,55.0,sequence_19369,47.9,0.1026236945487899
221,sequence_53082,55.0,sequence_19461,61.2,0.0971033203436133
167,sequence_53082,55.0,sequence_53076,46.3,0.0899588447025464
213,sequence_53082,55.0,sequence_19463,62.7,0.1112632812212489
178,sequence_53082,55.0,sequence_20034,52.0,0.1158429295090349
143,sequence_53082,55.0,sequence_53061,50.6,0.0939693849704743
229,sequence_53082,55.0,sequence_19460,61.0,0.0656022371728014
176,sequence_53082,55.0,sequence_19484,52.0,0.1249075740211937
249,sequence_53082,55.0,sequence_53072,47.0,0.0158697043170199
58,sequence_53082,55.0,sequence_19370,51.7,0.1212634792121567
259,sequence_53082,55.0,sequence_19401,47.4,0.0658149474530597
198,sequence_53082,55.0,sequence_19458,62.9,0.0800166271226987
226,sequence_53082,55.0,sequence_19349,58.9,0.0964109053675055
