,id_seq1,target_seq1,id_seq2,target_seq2,distance
17,sequence_40826,539,sequence_40816,531,8625.9114
64,sequence_40826,539,sequence_40823,546,5333.672099999998
23,sequence_40826,539,sequence_40831,525,8647.072300000002
10,sequence_40826,539,sequence_40855,522,1314.433
65,sequence_40826,539,sequence_40834,546,9127.7668
63,sequence_40826,539,sequence_40822,549,5627.602399999998
59,sequence_40826,539,sequence_40836,543,5669.057300000001
12,sequence_40826,539,sequence_40840,528,7443.571300000001
79,sequence_40826,539,sequence_40867,622,10196.1948
69,sequence_40826,539,sequence_40798,579,9009.539100000002
76,sequence_40826,539,sequence_40866,620,9024.2594
58,sequence_40826,539,sequence_40859,543,19024.5393
78,sequence_40826,539,sequence_40788,510,9999.9777
68,sequence_40826,539,sequence_40830,558,5180.1297
19,sequence_40826,539,sequence_40818,522,13023.0502
21,sequence_40826,539,sequence_40828,519,5534.418499999999
49,sequence_40826,539,sequence_40797,558,7969.7237
52,sequence_40826,539,sequence_40804,561,12905.4121
13,sequence_40826,539,sequence_40841,528,894.904300000001
48,sequence_40826,539,sequence_40825,532,4427.4854000000005
60,sequence_40826,539,sequence_40837,543,17619.102
50,sequence_40826,539,sequence_40800,558,6997.424600000001
4,sequence_40826,539,sequence_40807,528,9698.163500000002
1,sequence_40826,539,sequence_40789,510,5936.4581
22,sequence_40826,539,sequence_40829,528,7375.3622
77,sequence_40826,539,sequence_40799,597,10095.667500000003
6,sequence_40826,539,sequence_40811,534,5585.961099999999
20,sequence_40826,539,sequence_40827,525,6461.382599999999
53,sequence_40826,539,sequence_40805,564,5809.882400000002
55,sequence_40826,539,sequence_40808,543,9346.5209
46,sequence_40826,539,sequence_40819,532,4464.6826
72,sequence_40826,539,sequence_40801,561,8159.154300000002
45,sequence_40826,539,sequence_40835,535,12013.873700000002
70,sequence_40826,539,sequence_40865,580,5692.666399999998
