,id_seq1,target_seq1,id_seq2,target_seq2,distance
152,sequence_53082,55.0,sequence_19529,48.8,274.01031156991365
19,sequence_53082,55.0,sequence_19417,47.9,274.64291115307424
78,sequence_53082,55.0,sequence_20051,42.5,304.0959549745519
194,sequence_53082,55.0,sequence_19398,46.2,271.11027683590873
154,sequence_53082,55.0,sequence_19491,48.8,272.87808621446607
186,sequence_53082,55.0,sequence_19528,47.1,259.72565371808844
38,sequence_53082,55.0,sequence_20064,47.3,250.33486301821372
23,sequence_53082,55.0,sequence_20042,49.4,273.83177721520303
80,sequence_53082,55.0,sequence_19394,45.4,274.49010434638404
175,sequence_53082,55.0,sequence_19493,50.4,255.79891449335477
150,sequence_53082,55.0,sequence_19494,60.0,270.3736208482096
412,sequence_19402,43.0,sequence_19529,48.8,180.16822565583027
279,sequence_19402,43.0,sequence_19417,47.9,161.42844686673874
338,sequence_19402,43.0,sequence_20051,42.5,175.6003094605632
454,sequence_19402,43.0,sequence_19398,46.2,158.86415562237022
414,sequence_19402,43.0,sequence_19491,48.8,183.57050669484485
446,sequence_19402,43.0,sequence_19528,47.1,206.608886051736
298,sequence_19402,43.0,sequence_20064,47.3,235.99533729902
283,sequence_19402,43.0,sequence_20042,49.4,191.75497724015224
340,sequence_19402,43.0,sequence_19394,45.4,163.2586710829894
435,sequence_19402,43.0,sequence_19493,50.4,211.45883555693464
410,sequence_19402,43.0,sequence_19494,60.0,198.5690929392993
672,sequence_20054,49.0,sequence_19529,48.8,235.40553139996507
539,sequence_20054,49.0,sequence_19417,47.9,211.6929321403152
598,sequence_20054,49.0,sequence_20051,42.5,254.5316330506789
714,sequence_20054,49.0,sequence_19398,46.2,237.94905836145904
674,sequence_20054,49.0,sequence_19491,48.8,209.40658453459972
706,sequence_20054,49.0,sequence_19528,47.1,238.982742769315
558,sequence_20054,49.0,sequence_20064,47.3,183.33243958529263
543,sequence_20054,49.0,sequence_20042,49.4,206.02624123941175
600,sequence_20054,49.0,sequence_19394,45.4,233.8564362811645
695,sequence_20054,49.0,sequence_19493,50.4,229.353877222158
670,sequence_20054,49.0,sequence_19494,60.0,196.3260544713648
