,id_seq1,target_seq1,id_seq2,target_seq2,distance
152,sequence_53082,55.0,sequence_19529,48.8,274.01031156991365
19,sequence_53082,55.0,sequence_19417,47.9,274.64291115307424
78,sequence_53082,55.0,sequence_20051,42.5,304.0959549745519
194,sequence_53082,55.0,sequence_19398,46.2,271.11027683590873
154,sequence_53082,55.0,sequence_19491,48.8,272.87808621446607
186,sequence_53082,55.0,sequence_19528,47.1,259.72565371808844
38,sequence_53082,55.0,sequence_20064,47.3,250.33486301821372
23,sequence_53082,55.0,sequence_20042,49.4,273.83177721520303
80,sequence_53082,55.0,sequence_19394,45.4,274.49010434638404
175,sequence_53082,55.0,sequence_19493,50.4,255.79891449335477
150,sequence_53082,55.0,sequence_19494,60.0,270.3736208482096
