,id_seq1,target_seq1,id_seq2,target_seq2,distance
95,sequence_53082,55.0,sequence_19511,62.4,0.0405999999999999
228,sequence_53082,55.0,sequence_19351,60.9,0.0645
235,sequence_53082,55.0,sequence_19517,61.6,0.0422
70,sequence_53082,55.0,sequence_19410,49.9,0.0612
208,sequence_53082,55.0,sequence_19459,59.2,0.0551
220,sequence_53082,55.0,sequence_19353,64.3,0.0743
212,sequence_53082,55.0,sequence_19480,62.8,0.045
182,sequence_53082,55.0,sequence_20053,54.7,0.0591
166,sequence_53082,55.0,sequence_19408,51.1,0.0402
204,sequence_53082,55.0,sequence_19360,63.5,0.0866
231,sequence_53082,55.0,sequence_19482,59.3,0.0423
56,sequence_53082,55.0,sequence_19354,60.0,0.0875
201,sequence_53082,55.0,sequence_19366,60.0,0.0666999999999999
200,sequence_53082,55.0,sequence_19364,57.1,0.0416999999999999
211,sequence_53082,55.0,sequence_19476,62.2,0.0633
119,sequence_53082,55.0,sequence_19412,55.3,0.0867999999999999
7,sequence_53082,55.0,sequence_19477,61.5,0.0788999999999999
213,sequence_53082,55.0,sequence_19463,62.7,0.0422
130,sequence_53082,55.0,sequence_20059,52.3,0.0575999999999999
178,sequence_53082,55.0,sequence_20034,52.0,0.0697999999999999
225,sequence_53082,55.0,sequence_19362,61.0,0.0848999999999999
146,sequence_53082,55.0,sequence_19449,54.3,0.0646999999999999
157,sequence_53082,55.0,sequence_19368,56.2,0.0865
8,sequence_53082,55.0,sequence_19363,54.6,0.0713
215,sequence_53082,55.0,sequence_19359,59.3,0.0793
183,sequence_53082,55.0,sequence_19355,58.8,0.0451
233,sequence_53082,55.0,sequence_19356,59.0,0.0546999999999999
226,sequence_53082,55.0,sequence_19349,58.9,0.0721
202,sequence_53082,55.0,sequence_19361,55.6,0.0777999999999999
219,sequence_53082,55.0,sequence_19475,59.1,0.0564
51,sequence_53082,55.0,sequence_19406,53.8,0.0747999999999999
216,sequence_53082,55.0,sequence_19350,60.1,0.077
116,sequence_53082,55.0,sequence_19427,53.8,0.0922
192,sequence_53082,55.0,sequence_19499,53.3,0.0523
65,sequence_53082,55.0,sequence_19357,58.5,0.0615999999999999
174,sequence_53082,55.0,sequence_19384,50.8,0.0525999999999999
76,sequence_53082,55.0,sequence_19415,52.8,0.0735
203,sequence_53082,55.0,sequence_19358,59.1,0.057
230,sequence_53082,55.0,sequence_19352,58.5,0.0673
26,sequence_53082,55.0,sequence_19450,46.0,0.0786
355,sequence_19402,43.0,sequence_19511,62.4,0.0663
