,id_seq1,target_seq1,id_seq2,target_seq2,distance
158,sequence_53082,55.0,sequence_19437,46.7,0.0590776607526059
82,sequence_53082,55.0,sequence_19378,52.4,0.0582571883976561
126,sequence_53082,55.0,sequence_19416,49.4,0.0575710864931347
86,sequence_53082,55.0,sequence_19393,53.7,0.054572795420429
32,sequence_53082,55.0,sequence_19369,47.9,0.050768789625123
133,sequence_53082,55.0,sequence_19396,43.1,0.0511354084759279
58,sequence_53082,55.0,sequence_19370,51.7,0.0564601629469841
134,sequence_53082,55.0,sequence_19527,50.1,0.0577886667089663
128,sequence_53082,55.0,sequence_19388,48.4,0.0579554138972365
6,sequence_53082,55.0,sequence_19496,48.3,0.0582377884195476
94,sequence_53082,55.0,sequence_19375,49.9,0.0589902534322408
