,id_seq1,target_seq1,id_seq2,target_seq2,distance
96,sequence_53082,55.0,sequence_53065,44.8,0.5806905213739619
235,sequence_53082,55.0,sequence_19517,61.6,0.6221569307378045
21,sequence_53082,55.0,sequence_19447,51.0,0.6165101300978097
57,sequence_53082,55.0,sequence_20040,47.2,0.7199894681742626
67,sequence_53082,55.0,sequence_19526,49.3,0.6675030982161755
158,sequence_53082,55.0,sequence_19437,46.7,0.7067186948199975
152,sequence_53082,55.0,sequence_19529,48.8,0.6514404939346166
223,sequence_53082,55.0,sequence_19472,59.9,0.6272330342270038
85,sequence_53082,55.0,sequence_20062,57.9,0.6227879515824097
171,sequence_53082,55.0,sequence_19524,46.4,0.6578073919292611
100,sequence_53082,55.0,sequence_20057,51.9,0.5986186851472549
59,sequence_53082,55.0,sequence_19432,51.0,0.7171526096665463
220,sequence_53082,55.0,sequence_19353,64.3,0.6671188403288126
89,sequence_53082,55.0,sequence_19422,46.6,0.6927590420794079
82,sequence_53082,55.0,sequence_19378,52.4,0.7174143579835542
189,sequence_53082,55.0,sequence_19452,44.2,0.6893356639721301
19,sequence_53082,55.0,sequence_19417,47.9,0.6992720157422525
0,sequence_53082,55.0,sequence_19402,43.0,0.7008271855864392
122,sequence_53082,55.0,sequence_20073,51.0,0.6135610041313337
195,sequence_53082,55.0,sequence_19424,50.9,0.6331024291193361
170,sequence_53082,55.0,sequence_20066,49.9,0.6914641181739898
45,sequence_53082,55.0,sequence_19446,39.5,0.6875127850327364
250,sequence_53082,55.0,sequence_53098,42.0,0.6507032016131541
13,sequence_53082,55.0,sequence_19523,50.8,0.6583225540443532
103,sequence_53082,55.0,sequence_19389,44.0,0.6979890400717286
242,sequence_53082,55.0,sequence_53088,48.0,0.6035451560313339
91,sequence_53082,55.0,sequence_19431,50.5,0.7229786695250012
182,sequence_53082,55.0,sequence_20053,54.7,0.662524689618788
114,sequence_53082,55.0,sequence_19428,49.3,0.6443206595649652
22,sequence_53082,55.0,sequence_53079,47.8,0.6063220579445587
72,sequence_53082,55.0,sequence_19439,49.5,0.6390976070390578
49,sequence_53082,55.0,sequence_19490,52.9,0.6763645296518671
126,sequence_53082,55.0,sequence_19416,49.4,0.6962074040525823
30,sequence_53082,55.0,sequence_19430,45.7,0.7057641356270803
194,sequence_53082,55.0,sequence_19398,46.2,0.7109511283617216
204,sequence_53082,55.0,sequence_19360,63.5,0.6803580927984203
1,sequence_53082,55.0,sequence_20054,49.0,0.7177994075971663
74,sequence_53082,55.0,sequence_19451,51.0,0.6447375661432166
37,sequence_53082,55.0,sequence_19506,49.3,0.6975288041998038
123,sequence_53082,55.0,sequence_19442,47.4,0.6305329292044806
154,sequence_53082,55.0,sequence_19491,48.8,0.6724771269784492
136,sequence_53082,55.0,sequence_53069,50.9,0.6012845066020402
34,sequence_53082,55.0,sequence_20072,48.7,0.6097266582708742
84,sequence_53082,55.0,sequence_19433,50.1,0.6975433270497238
52,sequence_53082,55.0,sequence_19405,48.7,0.6390142147943696
64,sequence_53082,55.0,sequence_19392,50.5,0.7505852503495327
155,sequence_53082,55.0,sequence_19421,53.0,0.7238774728504191
71,sequence_53082,55.0,sequence_19390,46.3,0.7095901744861678
10,sequence_53082,55.0,sequence_19453,47.3,0.6832888270625163
3,sequence_53082,55.0,sequence_20036,52.9,0.6511270487375382
180,sequence_53082,55.0,sequence_53067,40.9,0.6685642234337925
101,sequence_53082,55.0,sequence_19438,56.1,0.6585280996338663
4,sequence_53082,55.0,sequence_19525,48.8,0.6693483126299884
29,sequence_53082,55.0,sequence_53059,47.1,0.6783986570863327
40,sequence_53082,55.0,sequence_19498,63.2,0.6403105092573405
56,sequence_53082,55.0,sequence_19354,60.0,0.6433364371702932
