,id_seq1,target_seq1,id_seq2,target_seq2,distance
57,sequence_53082,55.0,sequence_20040,47.2,0.0032070164762595
67,sequence_53082,55.0,sequence_19526,49.3,0.0037153567876928
152,sequence_53082,55.0,sequence_19529,48.8,0.0030685059524337
171,sequence_53082,55.0,sequence_19524,46.4,0.0036370830801809
19,sequence_53082,55.0,sequence_19417,47.9,0.0033508702502655
49,sequence_53082,55.0,sequence_19490,52.9,0.0030853825542668
154,sequence_53082,55.0,sequence_19491,48.8,0.003201211190843
64,sequence_53082,55.0,sequence_19392,50.5,0.0040861706183428
155,sequence_53082,55.0,sequence_19421,53.0,0.0037442475505747
4,sequence_53082,55.0,sequence_19525,48.8,0.0034574183249841
39,sequence_53082,55.0,sequence_19530,45.6,0.0031807610518825
179,sequence_53082,55.0,sequence_19456,48.0,0.0038490677268377
135,sequence_53082,55.0,sequence_19435,51.4,0.0039776273709828
90,sequence_53082,55.0,sequence_19495,58.9,0.0038826565950993
38,sequence_53082,55.0,sequence_20064,47.3,0.0041371435220896
115,sequence_53082,55.0,sequence_19377,50.3,0.0031264174346011
32,sequence_53082,55.0,sequence_19369,47.9,0.0023308310063402
162,sequence_53082,55.0,sequence_19395,49.7,0.0032271800710381
133,sequence_53082,55.0,sequence_19396,43.1,0.0029752192065098
169,sequence_53082,55.0,sequence_19507,46.0,0.0036734696585031
23,sequence_53082,55.0,sequence_20042,49.4,0.0038744722168227
109,sequence_53082,55.0,sequence_19399,47.5,0.0030930531689861
28,sequence_53082,55.0,sequence_19509,50.6,0.0039763428052056
176,sequence_53082,55.0,sequence_19484,52.0,0.0035471399829111
163,sequence_53082,55.0,sequence_19510,47.8,0.003031197858531
134,sequence_53082,55.0,sequence_19527,50.1,0.0031866017705229
102,sequence_53082,55.0,sequence_19486,54.2,0.0034763211913344
24,sequence_53082,55.0,sequence_19419,53.3,0.0041212575288105
41,sequence_53082,55.0,sequence_19504,50.6,0.0033644954893267
60,sequence_53082,55.0,sequence_19371,49.0,0.0034809216628448
61,sequence_53082,55.0,sequence_19434,48.0,0.0043818266336147
151,sequence_53082,55.0,sequence_19454,43.1,0.0034337818186943
6,sequence_53082,55.0,sequence_19496,48.3,0.0029935375156276
132,sequence_53082,55.0,sequence_19373,53.1,0.0035244531563195
