,id_seq1,target_seq1,id_seq2,target_seq2,distance
255,sequence_53082,55.0,sequence_19347,58.9,0.220969205999388
235,sequence_53082,55.0,sequence_19517,61.6,0.3021751809795107
189,sequence_53082,55.0,sequence_19452,44.2,0.2942146665276903
241,sequence_53082,55.0,sequence_53083,51.0,0.0970582299447089
91,sequence_53082,55.0,sequence_19431,50.5,0.3193822318163615
114,sequence_53082,55.0,sequence_19428,49.3,0.3117165860200577
72,sequence_53082,55.0,sequence_19439,49.5,0.3307997128172879
30,sequence_53082,55.0,sequence_19430,45.7,0.316718644856914
253,sequence_53082,55.0,sequence_53099,53.0,0.1833836688475828
123,sequence_53082,55.0,sequence_19442,47.4,0.3272449235664322
10,sequence_53082,55.0,sequence_19453,47.3,0.288097761185331
168,sequence_53082,55.0,sequence_19372,49.2,0.3124675023102402
190,sequence_53082,55.0,sequence_19407,49.2,0.2787327573142417
214,sequence_53082,55.0,sequence_19464,62.2,0.3169523308007058
55,sequence_53082,55.0,sequence_19409,51.1,0.2980236232247371
27,sequence_53082,55.0,sequence_53085,51.2,0.1440444375878499
229,sequence_53082,55.0,sequence_19460,61.0,0.2823081118211095
184,sequence_53082,55.0,sequence_19365,53.0,0.2877518722788786
197,sequence_53082,55.0,sequence_53058,51.2,0.204137502678954
215,sequence_53082,55.0,sequence_19359,59.3,0.3359769932599553
233,sequence_53082,55.0,sequence_19356,59.0,0.319813570693928
198,sequence_53082,55.0,sequence_19458,62.9,0.3009414228716281
226,sequence_53082,55.0,sequence_19349,58.9,0.3081166986711367
219,sequence_53082,55.0,sequence_19475,59.1,0.3074539477710443
192,sequence_53082,55.0,sequence_19499,53.3,0.3064039164240562
191,sequence_53082,55.0,sequence_19444,50.7,0.3197059899345023
224,sequence_53082,55.0,sequence_19462,63.2,0.3000309484036607
230,sequence_53082,55.0,sequence_19352,58.5,0.3259578960540762
254,sequence_53082,55.0,sequence_53056,52.0,0.1707090214370639
515,sequence_19402,43.0,sequence_19347,58.9,0.3427478373381807
495,sequence_19402,43.0,sequence_19517,61.6,0.3275447297698438
449,sequence_19402,43.0,sequence_19452,44.2,0.3397893759375063
501,sequence_19402,43.0,sequence_53083,51.0,0.3920172572731971
351,sequence_19402,43.0,sequence_19431,50.5,0.3180140877382635
374,sequence_19402,43.0,sequence_19428,49.3,0.2983767417209323
332,sequence_19402,43.0,sequence_19439,49.5,0.3489983954117842
290,sequence_19402,43.0,sequence_19430,45.7,0.3486322561095001
513,sequence_19402,43.0,sequence_53099,53.0,0.3741955103953012
383,sequence_19402,43.0,sequence_19442,47.4,0.3333645302067993
270,sequence_19402,43.0,sequence_19453,47.3,0.3058499468693758
428,sequence_19402,43.0,sequence_19372,49.2,0.3067903681669292
450,sequence_19402,43.0,sequence_19407,49.2,0.335129169127368
474,sequence_19402,43.0,sequence_19464,62.2,0.3337617263857557
315,sequence_19402,43.0,sequence_19409,51.1,0.3379271667090411
287,sequence_19402,43.0,sequence_53085,51.2,0.414942273093499
489,sequence_19402,43.0,sequence_19460,61.0,0.3454416882774863
444,sequence_19402,43.0,sequence_19365,53.0,0.2926581452821705
457,sequence_19402,43.0,sequence_53058,51.2,0.3951152869733085
475,sequence_19402,43.0,sequence_19359,59.3,0.3098463651553784
493,sequence_19402,43.0,sequence_19356,59.0,0.2988500460097004
458,sequence_19402,43.0,sequence_19458,62.9,0.3301172064585546
486,sequence_19402,43.0,sequence_19349,58.9,0.3108160066663234
479,sequence_19402,43.0,sequence_19475,59.1,0.3412731750372419
452,sequence_19402,43.0,sequence_19499,53.3,0.3105903894198917
451,sequence_19402,43.0,sequence_19444,50.7,0.3145738228142958
484,sequence_19402,43.0,sequence_19462,63.2,0.3140821230188053
490,sequence_19402,43.0,sequence_19352,58.5,0.3181914203745916
514,sequence_19402,43.0,sequence_53056,52.0,0.3864106106203607
