,id_seq1,target_seq1,id_seq2,target_seq2,distance
96,sequence_53082,55.0,sequence_53065,44.8,186.00750709427265
153,sequence_53082,55.0,sequence_19426,56.3,217.48718548013116
21,sequence_53082,55.0,sequence_19447,51.0,211.44868795928704
57,sequence_53082,55.0,sequence_20040,47.2,227.72100750745705
67,sequence_53082,55.0,sequence_19526,49.3,212.34792888415703
158,sequence_53082,55.0,sequence_19437,46.7,233.25648628380247
152,sequence_53082,55.0,sequence_19529,48.8,211.9924509883719
223,sequence_53082,55.0,sequence_19472,59.9,203.50608709351167
85,sequence_53082,55.0,sequence_20062,57.9,199.85612718114737
171,sequence_53082,55.0,sequence_19524,46.4,211.6523796525442
227,sequence_53082,55.0,sequence_19478,60.1,207.17837864399365
100,sequence_53082,55.0,sequence_20057,51.9,197.4284158596979
59,sequence_53082,55.0,sequence_19432,51.0,233.54113804329097
220,sequence_53082,55.0,sequence_19353,64.3,218.00132120287512
89,sequence_53082,55.0,sequence_19422,46.6,223.54678372675767
82,sequence_53082,55.0,sequence_19378,52.4,232.69371488516052
189,sequence_53082,55.0,sequence_19452,44.2,225.346351141265
19,sequence_53082,55.0,sequence_19417,47.9,223.20671239093
93,sequence_53082,55.0,sequence_19488,51.3,218.61496469504075
2,sequence_53082,55.0,sequence_20048,39.8,225.992750803726
0,sequence_53082,55.0,sequence_19402,43.0,232.6423889496169
122,sequence_53082,55.0,sequence_20073,51.0,198.12787047741637
195,sequence_53082,55.0,sequence_19424,50.9,218.5360358667926
170,sequence_53082,55.0,sequence_20066,49.9,215.9100797443072
45,sequence_53082,55.0,sequence_19446,39.5,232.4095477001517
250,sequence_53082,55.0,sequence_53098,42.0,204.79712435103545
13,sequence_53082,55.0,sequence_19523,50.8,216.01025948073536
103,sequence_53082,55.0,sequence_19389,44.0,231.8467763015098
164,sequence_53082,55.0,sequence_19489,49.1,221.39597717153885
78,sequence_53082,55.0,sequence_20051,42.5,217.69275822897387
242,sequence_53082,55.0,sequence_53088,48.0,187.1088463326157
91,sequence_53082,55.0,sequence_19431,50.5,232.82501789244716
182,sequence_53082,55.0,sequence_20053,54.7,213.05013843956093
114,sequence_53082,55.0,sequence_19428,49.3,216.48641356979883
22,sequence_53082,55.0,sequence_53079,47.8,189.55107727656417
72,sequence_53082,55.0,sequence_19439,49.5,217.33579612809325
49,sequence_53082,55.0,sequence_19490,52.9,220.15670601726333
126,sequence_53082,55.0,sequence_19416,49.4,226.93986912380493
30,sequence_53082,55.0,sequence_19430,45.7,232.4336990487705
194,sequence_53082,55.0,sequence_19398,46.2,231.5901812767457
204,sequence_53082,55.0,sequence_19360,63.5,217.74472617811108
1,sequence_53082,55.0,sequence_20054,49.0,229.36068602748483
145,sequence_53082,55.0,sequence_19469,50.5,204.7226105878197
74,sequence_53082,55.0,sequence_19451,51.0,210.14324254786155
37,sequence_53082,55.0,sequence_19506,49.3,220.5160892991541
123,sequence_53082,55.0,sequence_19442,47.4,216.25888900670736
154,sequence_53082,55.0,sequence_19491,48.8,219.5319829219471
136,sequence_53082,55.0,sequence_53069,50.9,181.12865665129223
34,sequence_53082,55.0,sequence_20072,48.7,201.86102721029133
84,sequence_53082,55.0,sequence_19433,50.1,234.13780440388277
52,sequence_53082,55.0,sequence_19405,48.7,208.22966694915604
