,id_seq1,target_seq1,id_seq2,target_seq2,distance
17,sequence_40826,539,sequence_40816,531,0.6171875
64,sequence_40826,539,sequence_40823,546,0.732421875
51,sequence_40826,539,sequence_40803,549,0.6328125
65,sequence_40826,539,sequence_40834,546,0.7392578125
62,sequence_40826,539,sequence_40821,549,0.6865234375
63,sequence_40826,539,sequence_40822,549,0.685546875
79,sequence_40826,539,sequence_40867,622,0.78125
69,sequence_40826,539,sequence_40798,579,0.736328125
75,sequence_40826,539,sequence_40795,562,0.7607421875
76,sequence_40826,539,sequence_40866,620,0.767578125
58,sequence_40826,539,sequence_40859,543,0.7041015625
78,sequence_40826,539,sequence_40788,510,0.8134765625
68,sequence_40826,539,sequence_40830,558,0.673828125
19,sequence_40826,539,sequence_40818,522,0.7412109375
61,sequence_40826,539,sequence_40820,543,0.6875
21,sequence_40826,539,sequence_40828,519,0.8037109375
43,sequence_40826,539,sequence_40860,535,0.7333984375
52,sequence_40826,539,sequence_40804,561,0.6005859375
16,sequence_40826,539,sequence_40838,531,0.7041015625
48,sequence_40826,539,sequence_40825,532,0.5927734375
60,sequence_40826,539,sequence_40837,543,0.6923828125
47,sequence_40826,539,sequence_40824,523,0.69140625
67,sequence_40826,539,sequence_40833,549,0.771484375
1,sequence_40826,539,sequence_40789,510,0.7177734375
3,sequence_40826,539,sequence_40806,525,0.4921875
71,sequence_40826,539,sequence_40863,566,0.7255859375
22,sequence_40826,539,sequence_40829,528,0.669921875
77,sequence_40826,539,sequence_40799,597,0.7431640625
6,sequence_40826,539,sequence_40811,534,0.671875
20,sequence_40826,539,sequence_40827,525,0.7216796875
0,sequence_40826,539,sequence_40787,510,0.6904296875
74,sequence_40826,539,sequence_40796,567,0.76953125
54,sequence_40826,539,sequence_40864,549,0.572265625
42,sequence_40826,539,sequence_40790,523,0.7197265625
18,sequence_40826,539,sequence_40817,528,0.59375
46,sequence_40826,539,sequence_40819,532,0.5947265625
72,sequence_40826,539,sequence_40801,561,0.7880859375
45,sequence_40826,539,sequence_40835,535,0.666015625
41,sequence_40826,539,sequence_40792,517,0.7216796875
2,sequence_40826,539,sequence_40794,519,0.794921875
70,sequence_40826,539,sequence_40865,580,0.7412109375
