,id_seq1,target_seq1,id_seq2,target_seq2,distance
34,sequence_40826,539,sequence_40861,464,0.012217885161132
36,sequence_40826,539,sequence_40854,465,0.0133400388956362
30,sequence_40826,539,sequence_40843,495,0.0115402657944516
37,sequence_40826,539,sequence_40853,463,0.0139264248595376
40,sequence_40826,539,sequence_40850,462,0.0122827371303358
28,sequence_40826,539,sequence_40858,495,0.0126969480588281
35,sequence_40826,539,sequence_40812,464,0.0138557598335099
29,sequence_40826,539,sequence_40852,474,0.0122078276008716
24,sequence_40826,539,sequence_40856,498,0.0122287972407386
25,sequence_40826,539,sequence_40815,498,0.0137349940168722
38,sequence_40826,539,sequence_40848,461,0.0127234496779788
32,sequence_40826,539,sequence_40791,454,0.0137224543897471
33,sequence_40826,539,sequence_40793,456,0.0141243144688403
39,sequence_40826,539,sequence_40849,464,0.0124675895856923
27,sequence_40826,539,sequence_40847,486,0.0122895960067245
