,id_seq1,target_seq1,id_seq2,target_seq2,distance
255,sequence_53082,55.0,sequence_19347,58.9,0.0933452386938237
95,sequence_53082,55.0,sequence_19511,62.4,0.2845253400547413
112,sequence_53082,55.0,sequence_19445,45.5,0.4124060564459182
228,sequence_53082,55.0,sequence_19351,60.9,0.3241617259441792
113,sequence_53082,55.0,sequence_19403,50.9,0.3431579668385269
125,sequence_53082,55.0,sequence_19429,50.9,0.4107884516151096
208,sequence_53082,55.0,sequence_19459,59.2,0.2962773336334738
16,sequence_53082,55.0,sequence_53062,49.1,0.2545476233808734
258,sequence_53082,55.0,sequence_19380,48.1,0.2879737701638101
241,sequence_53082,55.0,sequence_53083,51.0,0.044409667272417
253,sequence_53082,55.0,sequence_53099,53.0,0.0752618964511157
252,sequence_53082,55.0,sequence_53084,39.0,0.0740884888547758
47,sequence_53082,55.0,sequence_20043,46.6,0.328980921070419
117,sequence_53082,55.0,sequence_19521,53.0,0.2132753447752681
38,sequence_53082,55.0,sequence_20064,47.3,0.2680520941214084
256,sequence_53082,55.0,sequence_19379,50.3,0.1461763706035845
257,sequence_53082,55.0,sequence_19348,46.7,0.2345226618343077
66,sequence_53082,55.0,sequence_20056,56.9,0.2699001601456402
32,sequence_53082,55.0,sequence_19369,47.9,0.338128144447991
221,sequence_53082,55.0,sequence_19461,61.2,0.2448364540595042
167,sequence_53082,55.0,sequence_53076,46.3,0.2671244909168369
213,sequence_53082,55.0,sequence_19463,62.7,0.2845211823647078
178,sequence_53082,55.0,sequence_20034,52.0,0.3277544454123616
143,sequence_53082,55.0,sequence_53061,50.6,0.2468603419406823
229,sequence_53082,55.0,sequence_19460,61.0,0.1710479589591329
176,sequence_53082,55.0,sequence_19484,52.0,0.3730051095051406
249,sequence_53082,55.0,sequence_53072,47.0,0.0391587625649706
58,sequence_53082,55.0,sequence_19370,51.7,0.3912029381697595
259,sequence_53082,55.0,sequence_19401,47.4,0.1764089440996791
198,sequence_53082,55.0,sequence_19458,62.9,0.2234168352006417
226,sequence_53082,55.0,sequence_19349,58.9,0.2627880052100898
216,sequence_53082,55.0,sequence_19350,60.1,0.3360459285573154
41,sequence_53082,55.0,sequence_19504,50.6,0.3457163403396365
44,sequence_53082,55.0,sequence_19404,51.3,0.3187497526244315
141,sequence_53082,55.0,sequence_19512,54.4,0.2906863336076305
