,id_seq1,target_seq1,id_seq2,target_seq2,distance
153,sequence_53082,55.0,sequence_19426,56.3,73.53789627673866
235,sequence_53082,55.0,sequence_19517,61.6,69.56050446584027
70,sequence_53082,55.0,sequence_19410,49.9,73.3484761138445
21,sequence_53082,55.0,sequence_19447,51.0,71.1419435042285
57,sequence_53082,55.0,sequence_20040,47.2,75.33402086457917
67,sequence_53082,55.0,sequence_19526,49.3,74.69878083327605
158,sequence_53082,55.0,sequence_19437,46.7,75.85298638340389
152,sequence_53082,55.0,sequence_19529,48.8,70.24942769729385
199,sequence_53082,55.0,sequence_19470,61.0,72.80009438770537
223,sequence_53082,55.0,sequence_19472,59.9,75.75015445428824
85,sequence_53082,55.0,sequence_20062,57.9,68.55319614001789
171,sequence_53082,55.0,sequence_19524,46.4,72.19833270398111
227,sequence_53082,55.0,sequence_19478,60.1,72.94246643288031
131,sequence_53082,55.0,sequence_19467,64.4,74.21696016598165
100,sequence_53082,55.0,sequence_20057,51.9,68.0606710519275
59,sequence_53082,55.0,sequence_19432,51.0,76.09777831362766
220,sequence_53082,55.0,sequence_19353,64.3,75.47988936845867
89,sequence_53082,55.0,sequence_19422,46.6,72.41931890286237
82,sequence_53082,55.0,sequence_19378,52.4,76.0419880953254
189,sequence_53082,55.0,sequence_19452,44.2,72.28384394128392
19,sequence_53082,55.0,sequence_19417,47.9,73.22995616485048
48,sequence_53082,55.0,sequence_19497,54.9,72.37895217323495
93,sequence_53082,55.0,sequence_19488,51.3,78.26872602838452
2,sequence_53082,55.0,sequence_20048,39.8,73.43963809085292
0,sequence_53082,55.0,sequence_19402,43.0,73.73766751727167
122,sequence_53082,55.0,sequence_20073,51.0,69.63595274327601
195,sequence_53082,55.0,sequence_19424,50.9,71.80062531104672
170,sequence_53082,55.0,sequence_20066,49.9,73.19027768786549
45,sequence_53082,55.0,sequence_19446,39.5,73.08071690177067
250,sequence_53082,55.0,sequence_53098,42.0,65.82170133222824
13,sequence_53082,55.0,sequence_19523,50.8,73.57432679224827
103,sequence_53082,55.0,sequence_19389,44.0,74.69591372063513
212,sequence_53082,55.0,sequence_19480,62.8,72.36798116405541
164,sequence_53082,55.0,sequence_19489,49.1,75.05415333289372
78,sequence_53082,55.0,sequence_20051,42.5,74.08702387906469
242,sequence_53082,55.0,sequence_53088,48.0,64.94520700305911
91,sequence_53082,55.0,sequence_19431,50.5,70.8573407805973
182,sequence_53082,55.0,sequence_20053,54.7,70.23296535582381
114,sequence_53082,55.0,sequence_19428,49.3,68.75010980107238
22,sequence_53082,55.0,sequence_53079,47.8,71.50609553037691
72,sequence_53082,55.0,sequence_19439,49.5,71.09609681215984
49,sequence_53082,55.0,sequence_19490,52.9,73.41122435922846
166,sequence_53082,55.0,sequence_19408,51.1,70.85571918239748
126,sequence_53082,55.0,sequence_19416,49.4,76.33084813714743
30,sequence_53082,55.0,sequence_19430,45.7,71.67008238706836
194,sequence_53082,55.0,sequence_19398,46.2,75.44707531724882
204,sequence_53082,55.0,sequence_19360,63.5,74.55709786297325
1,sequence_53082,55.0,sequence_20054,49.0,72.15592125378464
145,sequence_53082,55.0,sequence_19469,50.5,70.62542752903211
74,sequence_53082,55.0,sequence_19451,51.0,74.79877026905042
37,sequence_53082,55.0,sequence_19506,49.3,76.2333400416479
123,sequence_53082,55.0,sequence_19442,47.4,71.260137117695
154,sequence_53082,55.0,sequence_19491,48.8,74.0820883034881
136,sequence_53082,55.0,sequence_53069,50.9,69.09996886522771
34,sequence_53082,55.0,sequence_20072,48.7,69.8515477022641
84,sequence_53082,55.0,sequence_19433,50.1,75.00026403033362
52,sequence_53082,55.0,sequence_19405,48.7,73.05136969721559
231,sequence_53082,55.0,sequence_19482,59.3,70.78430748967924
155,sequence_53082,55.0,sequence_19421,53.0,72.4060264691872
71,sequence_53082,55.0,sequence_19390,46.3,75.74290049338236
10,sequence_53082,55.0,sequence_19453,47.3,72.73603164093387
3,sequence_53082,55.0,sequence_20036,52.9,73.16572726433621
180,sequence_53082,55.0,sequence_53067,40.9,71.86393953306359
101,sequence_53082,55.0,sequence_19438,56.1,74.81912597873333
4,sequence_53082,55.0,sequence_19525,48.8,76.50358794370833
40,sequence_53082,55.0,sequence_19498,63.2,75.85746990432438
56,sequence_53082,55.0,sequence_19354,60.0,71.6810367059872
148,sequence_53082,55.0,sequence_19457,43.6,74.88561878558056
168,sequence_53082,55.0,sequence_19372,49.2,75.66846160925948
190,sequence_53082,55.0,sequence_19407,49.2,69.5592466244569
201,sequence_53082,55.0,sequence_19366,60.0,71.37245940273723
196,sequence_53082,55.0,sequence_20037,57.8,71.9952856075906
179,sequence_53082,55.0,sequence_19456,48.0,73.613926771964
185,sequence_53082,55.0,sequence_20047,49.9,70.9368538785553
42,sequence_53082,55.0,sequence_19386,50.7,69.07408066349132
238,sequence_53082,55.0,sequence_19411,58.0,73.46986946215672
200,sequence_53082,55.0,sequence_19364,57.1,74.48444663065291
142,sequence_53082,55.0,sequence_19387,47.7,72.68383546277768
210,sequence_53082,55.0,sequence_19465,62.9,75.46273339367752
90,sequence_53082,55.0,sequence_19495,58.9,76.20111320830112
107,sequence_53082,55.0,sequence_20076,55.7,68.2076235016525
186,sequence_53082,55.0,sequence_19528,47.1,66.76099037969595
211,sequence_53082,55.0,sequence_19476,62.2,74.7397781379899
86,sequence_53082,55.0,sequence_19393,53.7,74.77866328872352
214,sequence_53082,55.0,sequence_19464,62.2,71.91768424774094
62,sequence_53082,55.0,sequence_19505,42.4,68.16978014716402
144,sequence_53082,55.0,sequence_19448,46.3,68.31622557678787
218,sequence_53082,55.0,sequence_19471,60.0,75.39219552687105
115,sequence_53082,55.0,sequence_19377,50.3,75.26366686986884
121,sequence_53082,55.0,sequence_53080,50.4,70.71057202361146
106,sequence_53082,55.0,sequence_19420,40.6,69.51262466081477
162,sequence_53082,55.0,sequence_19395,49.7,71.8718928522523
181,sequence_53082,55.0,sequence_19502,59.9,70.00080509733587
55,sequence_53082,55.0,sequence_19409,51.1,68.97633291602912
75,sequence_53082,55.0,sequence_20041,48.5,71.67970532349884
87,sequence_53082,55.0,sequence_20065,46.5,71.06875486687
119,sequence_53082,55.0,sequence_19412,55.3,73.01883883494118
7,sequence_53082,55.0,sequence_19477,61.5,72.00856416283891
33,sequence_53082,55.0,sequence_53064,48.4,71.54169651035772
133,sequence_53082,55.0,sequence_19396,43.1,73.18553790643377
177,sequence_53082,55.0,sequence_53073,53.8,71.04699858406755
169,sequence_53082,55.0,sequence_19507,46.0,72.10345843703561
31,sequence_53082,55.0,sequence_20052,42.9,74.10631951996831
23,sequence_53082,55.0,sequence_20042,49.4,68.88948146223689
109,sequence_53082,55.0,sequence_19399,47.5,74.12579893965007
46,sequence_53082,55.0,sequence_20063,48.9,69.03356916712656
92,sequence_53082,55.0,sequence_20058,54.9,71.28348478870267
130,sequence_53082,55.0,sequence_20059,52.3,69.18600087344085
97,sequence_53082,55.0,sequence_53074,48.3,68.79269089433774
27,sequence_53082,55.0,sequence_53085,51.2,67.38378104969163
28,sequence_53082,55.0,sequence_19509,50.6,77.70011575966771
25,sequence_53082,55.0,sequence_19425,56.9,67.12011830973586
9,sequence_53082,55.0,sequence_19500,51.2,70.41307697746925
236,sequence_53082,55.0,sequence_19520,58.7,77.40099820716024
105,sequence_53082,55.0,sequence_20068,50.6,70.60976346591514
140,sequence_53082,55.0,sequence_19516,51.9,70.78172516414148
225,sequence_53082,55.0,sequence_19362,61.0,72.6972812385475
15,sequence_53082,55.0,sequence_20069,53.4,72.40232497188013
146,sequence_53082,55.0,sequence_19449,54.3,72.91928538901146
193,sequence_53082,55.0,sequence_19487,55.9,72.08668480209751
98,sequence_53082,55.0,sequence_20050,47.9,67.75354234708254
157,sequence_53082,55.0,sequence_19368,56.2,75.05700453451857
187,sequence_53082,55.0,sequence_19455,44.5,68.58729034344942
209,sequence_53082,55.0,sequence_19481,63.1,77.34266461315268
184,sequence_53082,55.0,sequence_19365,53.0,67.86969882648529
14,sequence_53082,55.0,sequence_53078,43.3,70.80357194292284
137,sequence_53082,55.0,sequence_19418,47.2,74.13356453017389
163,sequence_53082,55.0,sequence_19510,47.8,72.90270595604045
99,sequence_53082,55.0,sequence_19515,50.4,69.58591070015143
8,sequence_53082,55.0,sequence_19363,54.6,71.9080498236091
149,sequence_53082,55.0,sequence_19466,56.9,69.07927062017669
127,sequence_53082,55.0,sequence_20055,46.3,72.15152874709214
134,sequence_53082,55.0,sequence_19527,50.1,74.66568352283852
215,sequence_53082,55.0,sequence_19359,59.3,69.70837148470667
102,sequence_53082,55.0,sequence_19486,54.2,76.7357411114582
232,sequence_53082,55.0,sequence_19518,61.6,74.48329205127793
183,sequence_53082,55.0,sequence_19355,58.8,73.68203668025302
233,sequence_53082,55.0,sequence_19356,59.0,74.52323194556769
73,sequence_53082,55.0,sequence_20071,44.9,68.29588206349514
11,sequence_53082,55.0,sequence_53075,51.6,69.9231224833498
12,sequence_53082,55.0,sequence_19522,45.4,71.82387531326833
5,sequence_53082,55.0,sequence_20061,45.0,67.6933562233478
24,sequence_53082,55.0,sequence_19419,53.3,70.77411389431785
108,sequence_53082,55.0,sequence_20070,51.8,66.28288725213855
202,sequence_53082,55.0,sequence_19361,55.6,68.37682246850088
248,sequence_53082,55.0,sequence_53068,36.0,60.7892403709654
161,sequence_53082,55.0,sequence_20074,47.1,70.97499258644139
173,sequence_53082,55.0,sequence_19485,58.0,73.67561451593268
219,sequence_53082,55.0,sequence_19475,59.1,69.36979972017667
51,sequence_53082,55.0,sequence_19406,53.8,72.31106276778053
234,sequence_53082,55.0,sequence_19503,60.0,77.41372193527891
77,sequence_53082,55.0,sequence_20035,52.5,70.10169947283099
222,sequence_53082,55.0,sequence_19483,60.6,75.75923912975728
20,sequence_53082,55.0,sequence_19391,46.8,78.20758631086841
17,sequence_53082,55.0,sequence_20060,52.6,69.20584054016992
88,sequence_53082,55.0,sequence_19383,50.5,73.8617414279069
69,sequence_53082,55.0,sequence_19443,48.0,72.83972763379205
18,sequence_53082,55.0,sequence_53066,39.2,72.41198241724553
239,sequence_53082,55.0,sequence_19513,61.0,74.14209101806196
172,sequence_53082,55.0,sequence_19414,54.7,67.83621510362897
138,sequence_53082,55.0,sequence_20075,54.9,66.39482352654635
207,sequence_53082,55.0,sequence_19473,60.6,70.04342498172366
60,sequence_53082,55.0,sequence_19371,49.0,74.70458204912639
245,sequence_53082,55.0,sequence_53086,40.0,66.71304414443871
247,sequence_53082,55.0,sequence_19400,43.0,71.79695489260857
159,sequence_53082,55.0,sequence_20044,48.4,70.70149973951294
53,sequence_53082,55.0,sequence_19382,52.0,72.03289427732734
43,sequence_53082,55.0,sequence_19519,50.3,68.59098001815627
35,sequence_53082,55.0,sequence_20038,49.1,70.40661040455765
116,sequence_53082,55.0,sequence_19427,53.8,71.55603538492109
120,sequence_53082,55.0,sequence_19508,49.5,74.90834403797031
192,sequence_53082,55.0,sequence_19499,53.3,70.63153091487324
151,sequence_53082,55.0,sequence_19454,43.1,76.54096375056257
65,sequence_53082,55.0,sequence_19357,58.5,77.46447827785778
63,sequence_53082,55.0,sequence_53070,45.7,70.40149858202108
191,sequence_53082,55.0,sequence_19444,50.7,69.33022829686377
50,sequence_53082,55.0,sequence_19376,53.0,70.49055383631331
36,sequence_53082,55.0,sequence_20039,52.6,67.33099042853355
80,sequence_53082,55.0,sequence_19394,45.4,75.573688216171
81,sequence_53082,55.0,sequence_19374,50.7,74.66773997945663
118,sequence_53082,55.0,sequence_20045,48.8,70.14677380175374
129,sequence_53082,55.0,sequence_20049,43.9,70.40840542560126
79,sequence_53082,55.0,sequence_19397,49.6,78.33161448841129
174,sequence_53082,55.0,sequence_19384,50.8,75.10732318933647
